title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
The Late Show with Stephen Colbert,series,"[35, 10767]","Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater.",2015-09-08,179.7158,6.082,/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg
Shameless,series,"[18, 35]","Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011-01-09,155.0974,8.167,/ifo31fMWLmyOVpdak9K0kY4jldQ.jpg
The Walking Dead,series,"[10759, 18, 10765]",Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010-10-31,148.9926,8.083,/ng3cMtxYKt1OSQYqFlnKWnVsqNO.jpg
Midsomer Murders,series,"[80, 18, 9648]","The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ",1997-03-23,148.6999,7.46,/pz7tsWxe0TTdfJnWPjZAEnrSl5M.jpg
Men on a Mission,series,"[10764, 35]","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",2015-12-05,138.9815,7.4,/2jIi55JtYKJTL1km8qHMuUilOWo.jpg
The Office,series,[35],"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",2005-03-24,151.5462,8.581,/7DJKHzAi83BmQrWLrYYOqcoKfhR.jpg
The Daily Show,series,"[10763, 35]","The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",1996-07-22,140.9049,6.397,/ixcfyK7it6FjRM36Te4OdblAq4X.jpg
Capitão Furacão,series,[10762],"""Capitão Furacão"" premiered on TV Globo's launch day, April 26, 1965, with the motto ""Always alert and obedient!"" The children's program was hosted by Pietro Mario (Capitão Furacão). In the second year, actress Elizangela began co-hosting alongside him, becoming his loyal assistant. Capitão Furacão was always surrounded by children; while spinning his ship's helm, he would read letters sent by viewers, organize games and contests, tell stories about the sea, offer advice to aspiring sailors, and present short films and cartoons.",1965-04-26,166.6204,0.0,/8xQdqtAKFVyYlAVnI6Jcpbpp2PI.jpg
Beauty in Black,series,[18],"A stripper's fate takes a turn when she crosses paths with the wealthy, dysfunctional family behind a cosmetics dynasty and a devious trafficking scheme.",2024-10-24,153.2805,8.3,/xKk4bFCCpZ9tvjUykvvMYLSBnjo.jpg
Mushoku Tensei: Jobless Reincarnation,series,"[10759, 16, 10765]","When a 34-year-old underachiever gets run over by a truck, his story doesn't end there. Reincarnated in a new world as an infant, Rudy will seize every opportunity to live the life he's always wanted. Armed with new friends, some freshly acquired magical abilities, and the courage to do the things he's always dreamed of, he's embarking on an epic adventure—with all of his past experience intact!",2021-01-11,147.6798,8.416,/gLKOYIMyKlUHW0SVdskhgf9C0yy.jpg
Doraemon,series,"[10759, 16, 35, 10765, 10762, 10751]","Robotic cat Doraemon is sent back in time from the 22nd century to protect 10-year-old Noby, a lazy and uncoordinated boy who is destined to have a tragic future. Doraemon can create secret gadgets from a pocket on his stomach, but they usually cause more bad than good because of Noby's propensity to misuse them.",2005-04-22,150.4294,8.1,/9ZN1P32SHviL3SV51qLivxycvcx.jpg
Paradise Hotel,series,[10764],"Danish version of the reality series ""Paradise Hotel"".",2005-09-14,128.6174,5.6,/ycSBcACecVR0zSnP2ZF83k5f7he.jpg
Mr. Fanboy,series,[18],"Cast in a BL drama with his idol, devoted fanboy Wan finds his heart pulled in a shocking new direction by the idol's protective partner, Third.",2026-08-29,152.7746,9.0,/vNo2ik8L1NdlgKdV2MJzU3mYKLV.jpg
FROM,series,"[9648, 18, 10765]","Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",2022-02-20,147.0991,8.495,/pRtJagIxpfODzzb0T0NAvZSzErC.jpg
Regular Show,series,"[16, 35, 10759, 10765]",The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,2010-09-06,140.7311,8.637,/mS5SLxMYcKfUxA0utBSR5MOAWWr.jpg
Bones,series,"[80, 18]","Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",2005-09-13,140.7762,8.182,/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg
Paradise Hotel,series,[10764],"Norwegian girls and boys check in at the Paradise Hotel in Mexico, where Triana Iglesias is the hotel manager. The hotel has great views and a fantastic pool. Cameras with a full view of the idyllic site tells the story of what happens when the single boys and girls meet in the hot surroundings of the hotel. The task they have is basically simple: Find a partner or check out.",2009-03-09,143.3181,5.7,/k6KhQBpW4gdcoSp9JQvQFq14lFI.jpg
